#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
112,Martinique,"218,764",,"1,035 ",,N/A,N/A,N/A,8,"583,944","2,763","828,928","2,212,646","374,632 ",North America,2,362,0,,,"580,903"
113,Laos,"214,455",+48,757 ,,N/A,N/A,N/A,,"28,574",101,"1,233,207","164,310","7,505,356 ",Asia,35,"9,915",6,6,,"27,452"
114,Kyrgyzstan,"205,835",+119,"2,991 ",,"196,406",,"6,438",131,"30,456",443,"1,907,195","282,192","6,758,490 ",Asia,33,"2,260",4,18,,953
115,Iceland,"204,717",,179 ,,N/A,N/A,N/A,2,"591,562",517,"1,993,053","5,759,237","346,062 ",Europe,2,"1,933",0,,,"372,341"
116,El Salvador,"201,785",,"4,224 ",,"179,266",,"18,295",8,"30,772",644,"2,610,114","398,040","6,557,420 ",North America,32,"1,552",3,,,"2,790"
117,Afghanistan,"194,444",+210,"7,783 ",+1,"172,433",+255,"14,228","1,124","4,761",191,"1,074,951","26,323","40,836,777 ",Asia,210,"5,247",38,5,0.02,348
118,Guadeloupe,"191,997",,986 ,,N/A,N/A,N/A,19,"479,665","2,463","938,039","2,343,498","400,273 ",North America,2,406,0,,,"471,581"
119,Maldives,"184,924",+68,308 ,,"163,687",,"20,929",25,"329,476",549,"2,213,831","3,944,346","561,267 ",Asia,3,"1,822",0,121,,"37,289"
120,Trinidad and Tobago,"180,008",+122,"4,161 ",+3,"170,372",+167,"5,475",18,"127,724","2,952","822,704","583,748","1,409,348 ",North America,8,339,2,87,2,"3,885"
121,Uganda,"169,396",,"3,628 ",,"100,431",,"65,337",3,"3,465",74,"3,012,408","61,621","48,885,901 ",Africa,289,"13,475",16,,,"1,337"
122,Namibia,"169,253",,"4,065 ",,"164,813",,375,,"64,085","1,539","1,062,663","402,361","2,641,068 ",Africa,16,650,2,,,142
123,Ghana,"168,580",,"1,459 ",,"167,080",,41,2,"5,189",45,"2,496,486","76,851","32,484,828 ",Africa,193,"22,265",13,,,1
